timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764996307971,21,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,20,0,1
1764996307992,12,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,12,0,0
1764996308005,170,get owner list,200,,Rate limiting 1-1,text,true,,66195,470,1,1,http://localhost:9966/petclinic/api/owners,169,0,0
1764996308175,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996308182,6,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,6,0,0
1764996308188,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,7,0,0
1764996308195,170,get owner list,200,,Rate limiting 1-1,text,true,,66440,470,1,1,http://localhost:9966/petclinic/api/owners,169,0,0
1764996308365,8,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996308373,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996308379,5,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,5,0,0
1764996308385,159,get owner list,200,,Rate limiting 1-1,text,true,,66684,470,1,1,http://localhost:9966/petclinic/api/owners,159,0,0
1764996308544,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996308551,6,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996308557,6,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,6,0,0
1764996308563,164,get owner list,200,,Rate limiting 1-1,text,true,,66928,470,1,1,http://localhost:9966/petclinic/api/owners,164,0,0
1764996308727,9,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996308736,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996308741,9,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,8,0,0
1764996308750,173,get owner list,200,,Rate limiting 1-1,text,true,,67172,470,1,1,http://localhost:9966/petclinic/api/owners,172,0,0
1764996308923,8,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996308931,7,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,7,0,0
1764996308938,8,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,8,0,0
1764996308946,159,get owner list,200,,Rate limiting 1-1,text,true,,67416,470,1,1,http://localhost:9966/petclinic/api/owners,159,0,0
1764996309105,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996309112,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996309117,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,6,0,0
1764996309124,167,get owner list,200,,Rate limiting 1-1,text,true,,67660,470,1,1,http://localhost:9966/petclinic/api/owners,166,0,0
1764996309291,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996309298,6,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996309304,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,7,0,0
1764996309311,156,get owner list,200,,Rate limiting 1-1,text,true,,67904,470,1,1,http://localhost:9966/petclinic/api/owners,156,0,0
1764996309467,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996309474,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996309480,6,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,6,0,0
1764996309487,164,get owner list,200,,Rate limiting 1-1,text,true,,68148,470,1,1,http://localhost:9966/petclinic/api/owners,164,0,0
1764996309652,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
