timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1765017149107,125,get slot,200,,notification 1-8,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,123,0,1
1765017149109,139,get slot,200,,notification 1-11,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,139,0,1
1765017149106,148,get slot,200,,notification 1-2,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,148,0,3
1765017149105,155,get slot,200,,notification 1-3,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,154,0,3
1765017149109,157,get slot,200,,notification 1-14,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,156,0,1
1765017149105,167,get slot,200,,notification 1-1,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,166,0,2
1765017149111,163,get slot,200,,notification 1-20,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,163,0,1
1765017149111,168,get slot,200,,notification 1-17,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,168,0,1
1765017149109,170,get slot,200,,notification 1-13,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,170,0,1
1765017149111,173,get slot,200,,notification 1-15,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,173,0,0
1765017149109,176,get slot,200,,notification 1-12,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,176,0,1
1765017149111,179,get slot,200,,notification 1-18,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,178,0,8
1765017149108,183,get slot,200,,notification 1-9,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,183,0,0
1765017149107,188,get slot,200,,notification 1-10,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,188,0,2
1765017149107,191,get slot,200,,notification 1-6,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,191,0,1
1765017149108,194,get slot,200,,notification 1-4,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,193,0,1
1765017149111,194,get slot,200,,notification 1-19,text,true,,344,493,20,20,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,193,0,0
