timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1765018153900,43,get slot,200,,notification 1-10,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,43,0,1
1765018153900,43,get slot,200,,notification 1-7,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,43,0,1
1765018153893,50,get slot,200,,notification 1-1,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,50,0,2
1765018153893,50,get slot,200,,notification 1-5,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,50,0,2
1765018153899,47,get slot,200,,notification 1-8,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,47,0,2
1765018153893,56,get slot,200,,notification 1-3,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,56,0,3
1765018153900,50,get slot,200,,notification 1-4,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,50,0,0
1765018153901,49,get slot,200,,notification 1-9,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,49,0,1
1765018153895,55,get slot,200,,notification 1-2,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,55,0,1
1765018153895,59,get slot,200,,notification 1-6,text,true,,344,493,10,10,http://localhost:9967/api/scheduling/vets/1/slots?date=2025-12-30,59,0,5
1765018153943,32,get capacity,200,,notification 1-5,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,32,0,0
1765018153943,33,get capacity,200,,notification 1-10,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,33,0,0
1765018153949,32,get capacity,200,,notification 1-3,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,32,0,0
1765018153950,31,get capacity,200,,notification 1-4,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,31,0,0
1765018153950,32,get capacity,200,,notification 1-9,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,32,0,0
1765018153950,32,get capacity,200,,notification 1-2,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,32,0,0
1765018153947,35,get capacity,200,,notification 1-8,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,35,0,0
1765018153943,45,get capacity,200,,notification 1-1,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,45,0,0
1765018153943,61,get capacity,200,,notification 1-7,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,61,0,0
1765018153954,63,get capacity,200,,notification 1-6,text,true,,412,496,10,10,http://localhost:9967/api/scheduling/vets/1/capacity?date=2025-12-30,62,0,0
1765018153982,164,add visit,201,Created,notification 1-9,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,162,0,1
1765018153982,163,add visit,201,Created,notification 1-3,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,162,0,2
1765018153977,169,add visit,201,Created,notification 1-10,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,166,0,0
1765018154005,143,add visit,201,Created,notification 1-7,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,138,0,1
1765018153976,172,add visit,201,Created,notification 1-5,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,169,0,1
1765018153983,165,add visit,201,Created,notification 1-8,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,164,0,1
1765018153989,160,add visit,201,Created,notification 1-1,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,156,0,1
1765018154018,131,add visit,201,Created,notification 1-6,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,126,0,1
1765018153983,167,add visit,201,Created,notification 1-2,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,162,0,2
1765018153983,167,add visit,201,Created,notification 1-4,text,true,,715,574,10,10,http://localhost:8081/petclinic/api/visits,163,0,1
